accuracy,auc,f1_score,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall,learning_rate
0.7092952132225037,0.7879711389541626,0.576881468296051,1.066831350326538,0.6535052061080933,0.8905910849571228,0.7775111198425293,0.8540635108947754,0.5285093784332275,0.816123366355896,0.7482830286026001,0.8348182439804077,4.999999873689376e-06
0.7142094969749451,0.7972457408905029,0.5787902474403381,1.0458217859268188,0.6559524536132812,0.9005754590034485,0.779022216796875,0.8550764322280884,0.5303352475166321,0.8108804821968079,0.7478591799736023,0.840342104434967,4.999999873689376e-06
0.7206857204437256,0.8072782158851624,0.5782479047775269,1.0280189514160156,0.6609392166137695,0.9059106111526489,0.7803555727005005,0.8560962080955505,0.5308107137680054,0.80750572681427,0.748693585395813,0.8424804210662842,4.999999873689376e-06
0.7264952659606934,0.8152691125869751,0.5771605372428894,1.0136046409606934,0.6661353707313538,0.9077779054641724,0.781155526638031,0.8566628694534302,0.5293199419975281,0.8056926131248474,0.7509559988975525,0.8398075699806213,4.999999873689376e-06
0.7342666387557983,0.824196457862854,0.5765211582183838,0.9970488548278809,0.6722736358642578,0.9138371348381042,0.7825777530670166,0.8581653237342834,0.5311456918716431,0.8013254404067993,0.7503954172134399,0.8453314304351807,4.999999873689376e-06
0.7423999905586243,0.8321738839149475,0.5752180814743042,0.9822660684585571,0.6793197989463806,0.917952835559845,0.7830222249031067,0.8588876128196716,0.5324905514717102,0.7996431589126587,0.7492532730102539,0.8492516279220581,4.999999873689376e-06
0.7458094954490662,0.8383486270904541,0.5739405751228333,0.969559907913208,0.6827871799468994,0.9178766012191772,0.7833777666091919,0.8593031167984009,0.5334208011627197,0.7980493307113647,0.7487075328826904,0.8515680432319641,4.999999873689376e-06
0.749923825263977,0.8434935212135315,0.5735508799552917,0.9594796299934387,0.6861125230789185,0.9210395812988281,0.7824000120162964,0.8589223027229309,0.5348607301712036,0.7972854971885681,0.7463406920433044,0.8540627360343933,4.999999873689376e-06
0.7555999755859375,0.8509122729301453,0.5722543001174927,0.9441651701927185,0.6914291977882385,0.9229068756103516,0.7827555537223816,0.8596434593200684,0.5374617576599121,0.7958927154541016,0.744143009185791,0.8602993488311768,4.999999873689376e-06
0.7621904611587524,0.8567174077033997,0.5715358853340149,0.9306619167327881,0.6969983577728271,0.9273656010627747,0.7824888825416565,0.8584081530570984,0.5353389978408813,0.7977269887924194,0.7459971904754639,0.8551318645477295,4.999999873689376e-06
0.7676571607589722,0.8628451228141785,0.5695285201072693,0.918035626411438,0.7026933431625366,0.9276323318481445,0.7824888825416565,0.8589655756950378,0.5357900261878967,0.796935498714447,0.7455391883850098,0.8562009930610657,4.999999873689376e-06
0.7713904976844788,0.8683956861495972,0.569282054901123,0.9061607718467712,0.7057837247848511,0.9305285811424255,0.7820444703102112,0.8587104082107544,0.5364210605621338,0.7972279787063599,0.7445063591003418,0.8572701215744019,2.499999936844688e-06
0.7768190503120422,0.8720472455024719,0.5682681798934937,0.8984825611114502,0.7108104825019836,0.9331199526786804,0.783466637134552,0.858971357345581,0.5382474064826965,0.7967330813407898,0.7439324259757996,0.8629721999168396,2.499999936844688e-06
